accepted_effective_groups,candidate_prompt_count,dead_group_rate_before_filtering,effective_group_rate_after_filtering,global_step,n_cells_touched,refill_rounds,rejected_groups,rollout_utilization,sampler,sampler_entropy,target_reached
16,32,0.0,1.0,139,156,1,0,1.0,dynamic_effective_group,0.998872,True
16,32,0.0,1.0,140,156,1,0,1.0,dynamic_effective_group,0.998873,True
16,32,0.0,1.0,141,156,1,0,1.0,dynamic_effective_group,0.998873,True
16,32,0.0,1.0,142,156,1,0,1.0,dynamic_effective_group,0.998897,True
16,32,0.0588,0.9412,143,156,1,1,0.9412,dynamic_effective_group,0.998906,True
16,32,0.0,1.0,144,156,1,0,1.0,dynamic_effective_group,0.998893,True
16,32,0.0,1.0,145,156,1,0,1.0,dynamic_effective_group,0.998908,True
16,32,0.0588,0.9412,146,156,1,1,0.9412,dynamic_effective_group,0.998908,True
16,32,0.0588,0.9412,147,156,1,1,0.9412,dynamic_effective_group,0.998947,True
16,32,0.1111,0.8889,148,156,1,2,0.8889,dynamic_effective_group,0.99896,True
